Level of Theory,n_complete,mean_signed_error,median_signed_error,mean_abs_error,median_abs_error,max_abs_error,median_actual_wall_time,median_pred_wall_time
B2PLYP-D3/aug-cc-pVTZ/CP,5,-0.8699999999999999,-0.82,0.8699999999999999,0.82,1.67,24864.04,10501.81963624501
B3LYP-D3/aug-cc-pVTZ/CP,6,-0.37166666666666665,0.08,0.9883333333333333,0.725,2.99,18234.32,10243.434196660857
wB97X-V/aug-cc-pVTZ/CP,6,-1.2716666666666667,-1.175,1.2716666666666667,1.175,2.7,42517.880000000005,26858.94854755509
wB97X-D/aug-cc-pVTZ/CP,6,-2.61,-2.76,2.61,2.76,4.82,37184.17,17208.6122251903
PBE-D3/aug-cc-pVTZ/CP,6,1.9249999999999998,2.8049999999999997,3.1216666666666666,2.87,4.09,13077.685000000001,6094.995456863542
MP2/aug-cc-pVTZ/CP,6,-11.491666666666667,-13.32,11.491666666666667,13.32,16.86,22791.92,9542.790982885104
HF/aug-cc-pVTZ/CP,6,33.22166666666667,36.46,33.22166666666667,36.46,44.51,13696.064999999999,4371.606592359898
