id,n_atoms,qcel_dimer,qcel_monA,qcel_monB,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[])', formula='C42H30', hash='55cf0c9')","Molecule(name='C54H34N4 ([1],[])', formula='C12H4N4', hash='a976405')",[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B3LYP-D3/aug-cc-pVTZ/CP,-2.216435670852661,3.8039423093621196,6367.109361355954
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[])', formula='C24H12', hash='a5e56e9')","Molecule(name='C48H24 ([1],[])', formula='C24H12', hash='14d66b9')",[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],B3LYP-D3/aug-cc-pVTZ/CP,-0.1289186179637909,3.4061294706881764,2547.5896198684686
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[])', formula='C5H5N5', hash='da0c498')","Molecule(name='C59H23N5 ([1],[])', formula='C54H18', hash='4964dcf')",[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],B3LYP-D3/aug-cc-pVTZ/CP,0.0862826406955719,3.8524428865725393,7119.391677715793
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[])', formula='C18H38', hash='87cfbcd')","Molecule(name='C36H76 ([1],[])', formula='C18H38', hash='e66faf9')",[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],B3LYP-D3/aug-cc-pVTZ/CP,-4.183959484100342,3.739635936078508,5490.8039328511595
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[])', formula='C24H20', hash='c642054')","Molecule(name='C48H40 ([1],[])', formula='C24H20', hash='ea1e324')",[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B3LYP-D3/aug-cc-pVTZ/CP,-1.715919852256775,3.5970404408726213,3954.0343774886114
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[])', formula='C40H26O2', hash='2290d18')","Molecule(name='C46FH29N2O6 ([1],[])', formula='C6FH3N2O4', hash='80f7f46')",[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B3LYP-D3/aug-cc-pVTZ/CP,0.12265881896018982,3.713853132416452,5174.318197980458
