id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B3LYP-D3/aug-cc-pVTZ/CP,2.216435670852661,3.8039423093621196,6367.109361355954,321,complete,-0.05603936252418862,35966.08,,1781290684.678278,-35.165204338191074,-34.15,-1.02
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],B3LYP-D3/aug-cc-pVTZ/CP,0.1289186179637909,3.4061294706881764,2547.5896198684686,[180],complete,-0.031004300675931518,10262.47,,1781290684.678278,-19.45547771285311,-20.65,1.19
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],B3LYP-D3/aug-cc-pVTZ/CP,-0.0862826406955719,3.8524428865725393,7119.391677715793,[179],complete,-0.02566759345927494,21494.57,,1781290684.678278,-16.10664590403616,-16.34,0.23
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],B3LYP-D3/aug-cc-pVTZ/CP,4.183959484100342,3.739635936078508,5490.8039328511595,[182],complete,-0.022383000017271115,12537.9,,1781290684.678278,-14.045533957837781,-11.06,-2.99
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B3LYP-D3/aug-cc-pVTZ/CP,1.715919852256775,3.5970404408726213,3954.0343774886114,322,complete,-0.031512405087823936,16904.67,,1781290684.678278,-19.77431780425531,-20.2,0.43
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B3LYP-D3/aug-cc-pVTZ/CP,-0.12265881896018982,3.713853132416452,5174.318197980458,323,complete,-0.0491829669767867,19563.97,,1781290684.678278,-30.862754424636446,-30.79,-0.07
