id,Level of Theory,accuracy_bucket,predicted_abs_percent_error,actual_abs_percent_error,IE_error_kcalmol,walltime_hours
S8-2,wB97X-D/aug-cc-pVTZ/CP,high_accuracy,0.14300767565826658,1.970126720205654,-0.6066020171513209,10.319241666666667
CBH,MP2/aug-cc-pVTZ/CP,high_accuracy,0.75470851515344,4.880725098419678,-0.5398081958852163,3.391147222222222
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,high_accuracy,0.9401387965458483,0.23636809796294767,-0.07277773736279158,5.434436111111111
C3A,wB97X-V/aug-cc-pVTZ/CP,high_accuracy,1.1649974958111635,3.9059414269127677,-0.6382308291575463,15.497622222222223
CBH,wB97X-V/aug-cc-pVTZ/CP,high_accuracy,1.2054950483884346,9.813631063536539,-1.0853875956271413,10.524105555555556
Da2,wB97X-V/aug-cc-pVTZ/CP,high_accuracy,1.7523306726229073,6.86009296587065,-1.3857387791058713,11.205458333333334
S8-2,wB97X-V/aug-cc-pVTZ/CP,high_accuracy,1.791326710836343,4.103361173742694,-1.2634249053953752,12.41558611111111
C3A,B3LYP-D3/aug-cc-pVTZ/CP,medium_accuracy,2.285351696329572,1.4280411843607224,0.23334192952454202,5.970713888888889
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,medium_accuracy,2.902786873253644,5.045211507274191,-0.8243875602886028,8.270322222222223
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,medium_accuracy,3.213502304317299,2.6454857739480775,-0.5462928123202779,8.088508333333333
2a,B3LYP-D3/aug-cc-pVTZ/CP,medium_accuracy,3.5661561946394156,2.9728576891622627,-1.0152309008489127,9.990577777777778
2a,wB97X-D/aug-cc-pVTZ/CP,medium_accuracy,3.6821152420379057,14.115270775632288,-4.820364969878426,13.295047222222221
Da2,B3LYP-D3/aug-cc-pVTZ/CP,medium_accuracy,3.7157216874679717,2.1072636577459303,0.42566725886467793,4.695741666666666
2a,B2PLYP-D3/aug-cc-pVTZ/CP,medium_accuracy,3.84955559782193,4.877792963752272,-1.665766297121401,8.350797222222221
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,medium_accuracy,4.361949879089799,13.066470781454159,-2.6982262163702835,8.855588888888889
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,medium_accuracy,4.628711646545549,2.462935704356938,-0.7583379033715012,6.906677777777778
2a,wB97X-V/aug-cc-pVTZ/CP,low_accuracy,5.3484205969256156,7.9081903119173305,-2.7006469915197684,15.014761111111111
C3A,wB97X-D/aug-cc-pVTZ/CP,low_accuracy,5.763494837094404,10.047382107464898,-1.6417422363597645,13.201877777777778
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,low_accuracy,5.772528081837267,4.746651125626073,-0.9588235273764667,5.414575
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,low_accuracy,6.057037475096166,1.2817133323950782,-0.14175749456289566,4.745561111111111
Da2,wB97X-D/aug-cc-pVTZ/CP,low_accuracy,8.389111792687142,15.192265770135304,-3.068837685567331,10.338630555555556
Da2,PBE-D3/aug-cc-pVTZ/CP,low_accuracy,8.620468696745316,13.906665194725438,2.809146369334538,3.437988888888889
